Kategori: Tüm kategoriler

Ay,kira artışı: (Türkiye)
2004-01,23
2004-02,47
2004-03,0
2004-04,0
2004-05,0
2004-06,16
2004-07,30
2004-08,14
2004-09,51
2004-10,0
2004-11,25
2004-12,9
2005-01,0
2005-02,8
2005-03,20
2005-04,21
2005-05,31
2005-06,48
2005-07,29
2005-08,44
2005-09,14
2005-10,12
2005-11,12
2005-12,6
2006-01,26
2006-02,21
2006-03,7
2006-04,15
2006-05,16
2006-06,14
2006-07,14
2006-08,22
2006-09,18
2006-10,13
2006-11,10
2006-12,6
2007-01,11
2007-02,6
2007-03,8
2007-04,5
2007-05,10
2007-06,9
2007-07,17
2007-08,15
2007-09,7
2007-10,8
2007-11,8
2007-12,7
2008-01,20
2008-02,7
2008-03,10
2008-04,8
2008-05,8
2008-06,13
2008-07,11
2008-08,11
2008-09,11
2008-10,5
2008-11,3
2008-12,8
2009-01,7
2009-02,4
2009-03,3
2009-04,5
2009-05,4
2009-06,13
2009-07,7
2009-08,7
2009-09,9
2009-10,9
2009-11,5
2009-12,6
2010-01,3
2010-02,5
2010-03,3
2010-04,4
2010-05,4
2010-06,5
2010-07,5
2010-08,3
2010-09,7
2010-10,3
2010-11,2
2010-12,4
2011-01,8
2011-02,7
2011-03,5
2011-04,6
2011-05,5
2011-06,8
2011-07,6
2011-08,8
2011-09,8
2011-10,5
2011-11,3
2011-12,4
2012-01,11
2012-02,4
2012-03,6
2012-04,7
2012-05,5
2012-06,6
2012-07,9
2012-08,4
2012-09,4
2012-10,7
2012-11,7
2012-12,5
2013-01,9
2013-02,8
2013-03,8
2013-04,11
2013-05,9
2013-06,4
2013-07,8
2013-08,7
2013-09,8
2013-10,7
2013-11,8
2013-12,5
2014-01,13
2014-02,9
2014-03,8
2014-04,7
2014-05,9
2014-06,10
2014-07,9
2014-08,7
2014-09,8
2014-10,7
2014-11,6
2014-12,7
2015-01,10
2015-02,9
2015-03,12
2015-04,11
2015-05,9
2015-06,13
2015-07,12
2015-08,11
2015-09,8
2015-10,9
2015-11,9
2015-12,9
2016-01,16
2016-02,11
2016-03,11
2016-04,14
2016-05,14
2016-06,15
2016-07,12
2016-08,17
2016-09,15
2016-10,14
2016-11,15
2016-12,11
2017-01,22
2017-02,19
2017-03,18
2017-04,16
2017-05,20
2017-06,23
2017-07,22
2017-08,32
2017-09,20
2017-10,21
2017-11,22
2017-12,30
2018-01,41
2018-02,29
2018-03,31
2018-04,33
2018-05,33
2018-06,40
2018-07,47
2018-08,41
2018-09,53
2018-10,56
2018-11,47
2018-12,57
2019-01,84
2019-02,46
2019-03,51
2019-04,42
2019-05,39
2019-06,43
2019-07,52
2019-08,43
2019-09,45
2019-10,37
2019-11,35
2019-12,40
2020-01,45
2020-02,36
2020-03,32
2020-04,22
2020-05,27
2020-06,42
2020-07,41
2020-08,34
2020-09,36
2020-10,26
2020-11,23
2020-12,28
2021-01,36
2021-02,24
2021-03,32
2021-04,28
2021-05,26
2021-06,43
2021-07,49
2021-08,45
2021-09,59
2021-10,58
2021-11,52
2021-12,62
2022-01,88
2022-02,70
2022-03,74
2022-04,100
